
depth	Q	c	P	E	Y	L	X	a	t	"(Qtz,calcite,Pyrite,Epidote,pYrrhotite,chLorite,aXinite,actinolite,tourmaline)"
1	-	-	-	-	-	-	-	-	-	
6610	c	c	c	c	c	c	c	c	c
8070	t	-	r	r	-	r	-	-	-
8080	t	r	r	r	-	r	-	-	-
8090	t	r	r	-	-	r	-	-	-
8100	t	r	r	-	-	r	-	-	-
8110	t	r	r	-	-	r	-	-	-
8120	t	r	r	r	-	r	-	-	-
8130	t	r	r	r	-	r	-	-	-
8140 	t	r	r	r	-	r	-	-	-
8150	t	-	r	r	-	r	-	-	-
8160	t	-	r	r	-	r	-	-	-
8170	t	-	r	r	-	r	-	-	-	
8180	t	-	r	r	-	r	-	-	-
8190	t	-	r	r	-	r	-	-	-
8200	t	-	r	r	-	r	-	-	-
8210	t	-	r	r	-	r	-	-	-
8220	t	-	r	r	-	r	-	-	-
8230	t	-	r	r	-	r	-	-	-
8240	t	-	r	r	-	r	-	-	-
8250	t	-	r	r	-	r	-	-	-
8260	t	-	r	r	-	r	-	-	-
8270	t	-	t	r	-	r	-	-	-	
8280	t	-	r	r	-	r	-	-	-
8290	t	-	r	r	-	r	-	-	-
8300	t	-	r	r	-	r	-	-	-
8310	t	-	r	r	-	r	-	-	-
8320	t	-	r	r	-	r	-	-	-
8330	t	-	r	r	-	r	-	-	-
8340	t	-	r	r	-	r	-	-	-
8350	t	-	r	r	-	r	-	-	-
8360	t	-	r	r	-	r	-	-	-
8370	t	-	r	r	-	r	-	-	-
8380	t	-	r	r	-	r	-	-	-
8390	t	-	r	r	-	r	-	-	-
8400	t	-	r	r	-	r	-	-	-
8410	t	-	r	r	-	r	-	-	-
8420	t	-	r	r	-	r	-	-	-
8430	t	-	r	r	-	r	-	-	-
8440	t	-	r	r	-	r	-	-	-
8450	t	-	r	r	-	r	-	-	-
8460	t	-	r	r	-	r	-	-	-
8470	t	-	r	r	-	r	-	-	-
8480	t	-	r	r	-	r	-	-	-
8490	t	-	r	r	-	r	-	-	-
8500	t	-	r	r	-	r	-	-	-
8510	t	-	r	r	-	r	-	-	-
8520	t	-	r	r	-	r	-	-	-
8530	t	-	r	r	-	-	-	-	-
8540	t	-	r	r	-	-	-	-	-
8550	t	-	r	r	-	-	-	-	-
8560	t	-	r	r	-	-	-	-	-
8570	t	-	r	r	-	-	-	-	-
8580	t	-	r	r	-	r	-	-	-
8590	t	-	r	r	-	r	-	-	-
8600	t	-	r	r	-	r	-	-	-
8610	t	-	r	r	-	r	-	-	-
8620	t	-	r	r	-	r	-	-	-
8630	t	-	r	r	-	r	-	-	-
8640	t	-	r	r	-	r	-	-	-
8650	t	-	r	r	-	r	-	-	-
8660	t	-	r	r	-	r	-	-	-
8670	t	-	r	r	-	r	-	-	-
8680	t	-	r	r	-	r	-	-	-
8690	t	-	r	r	-	r	-	-	-
8700	t	-	r	r	-	r	-	-	-
8710	t	-	r	r	-	r	-	-	-
8720	t	-	r	r	-	r	-	-	-
8730	t	-	r	r	-	r	-	-	-
8740	t	-	r	r	-	r	-	-	-
8750	t	-	r	r	-	r	-	-	-
8760	t	-	r	r	-	r	-	-	-
8770	t	-	r	r	-	r	-	-	-
8780	t	-	r	r	-	r	-	-	-
8790	t	-	r	r	-	r	-	-	-
8800	t	-	r	r	-	r	-	-	-
8810	t	-	r	r	-	r	-	-	-
8820	t	-	r	r	-	r	-	-	-
8830	t	-	r	r	-	r	-	-	-
8840	t	-	r	r	-	r	-	-	-
8850	t	-	r	r	-	r	-	-	-
8860	t	-	r	r	-	r	-	-	-
8870	t	-	r	r	-	r	-	-	-
8880	t	-	r	r	-	r	-	-	-
8890	t	-	r	r	-	r	-	-	-
8900	t	-	r	r	-	r	-	-	-
8910	t	-	r	r	-	r	-	-	-
8920	t	-	r	r	-	r	-	-	-
8930	t	-	r	r	-	r	-	-	-
8940	t	-	r	r	-	r	-	-	-
8950	t	-	r	r	-	r	-	-	-
8960	t	-	r	r	-	r	-	-	-
8970	t	-	r	r	-	r	-	-	-
8980	t	-	r	r	-	r	-	-	-
8990	t	-	r	r	-	r	-	-	-
9000	t	-	r	r	-	r	-	-	-
9010	t	-	r	r	-	r	-	-	-
9020	t	-	r	r	-	r	-	-	-
9030	t	-	r	r	-	r	-	-	-
9040	t	-	r	r	-	r	-	-	-
9050	t	-	r	r	-	r	-	-	-
9060	t	-	r	r	-	r	-	-	-
9070	t	-	r	r	-	r	-	-	-
9080	t	-	r	r	-	r	-	-	-
9090	t	-	r	r	-	r	-	-	-
9100	t	-	r	r	-	r	-	-	-
9110	t	-	r	r	-	r	-	-	-
9120	t	-	r	r	-	r	-	-	-
9130	t	-	r	r	-	r	-	-	-
9140	r	-	r	r	-	r	-	-	-
9150	r	-	r	-	-	r	-	-	-
9160	r	-	r	-	-	-	-	-	-
9170	r	-	r	-	-	-	-	-	-
9180	r	-	r	-	-	-	-	-	-
9190	r	-	r	-	-	-	-	-	-
9200	r	-	r	-	-	-	-	-	-
9210	r	-	r	-	-	-	-	-	-
9220	t	-	r	r	-	r	-	-	-
9230	t	-	r	r	-	r	-	-	-
9240	t	-	r	r	-	r	-	-	-
9250	t	-	r	r	-	r	-	-	-
9260	t	-	r	r	-	r	-	-	-
9270	t	-	r	r	-	r	-	-	-
9280	t	-	r	r	-	r	-	-	-
9290	t	-	r	r	-	r	-	-	-
9300	t	-	r	r	-	r	-	-	-
9310	t	-	r	r	-	r	-	-	-
