Minerals data file for Heber HGU-17
DEPTH	Qtz	Cal	Pyr	Prh	Hm	Chl	Ser	Epi	Clay
2470 t m r - - r - - -
2480 t t r - - r - - -
2490 t r r - - r - - -
2500 r r r - - r - - -
2510 r t r - - r - - -
2520 t m r - - - - - -
2530 m c r - - - - - - 
2540 m m r - - r - - -
2550 t c r - - r - - -
2560 t c r - - - - - -
2570 t c r - - r - - -
2580 m m r - - t - - - 
2590 m m r - - t - - - 
2600 t t - - - r - - - 
2610 t r - - - r - - - 
2620 t m t - - t - - - 
2630 r t r - - r - - - 
2640 t t - - - t - - - 
2650 - - - - - - - - - 
2660 t c r - - r - - -
2670 r c r - - r - - -
2680 t c r - - r - - -
2690 t c r - - r - - -
2700 r c r - - r - - -
2710 r c r - - r - - -
2720 r m r - - r - - -
2730 r t r - - r - - -
2740 r r r - - r - - -
2750 r t r - - r - - -
2760 r m r - - r - - -
2770 r m r - - r - - -
2780 r t r - - r - - -
2790 r m t - - r - - - 
2800 r m r - - r - - - 
2810 r m r - - r - - - 
2820 - m t - - r - - - 
2830 r m r - - r - - - 
2840 - m r - - - - - - 
2850 - t - - - - - - - 
2860 r t r - - - - - - 
2870 t t t - - r - - - 
2880 t t t - - r - - - 
2890 t t t - - r - - - 
2900 t m r - - r - - - 
2910 m m r - - r - - - 
2920 t m - - - r - - - 
2930 m m - - - r - - - 
2940 t t r - - r - - - 
2950 t t r - - r - - - 
2960 t t r - - r - - - 
2970 t m r - - r - - - 
2980 t t r - - r - - - 
2990 t t r - - r - - - 
3000 t m r - - r - - - 
3010 m t t - - t - - -
3020 m t t - - m - - - 
3030 m t t - - m - - - 
3040 t c t - - t - - - 
3050 t m t - - t - - - 
3060 t m r - - t - - - 
3070 t m t - - t - - - 
3080 m t t - - t - - -
3090 m t t - - t - - -
3100 m m r - - t - - - 
3110 m t r - - t - - - 
3120 m r r - - t - - - 
3130 m r r - - t - - - 
3140 m r r - - t - - - 
3150 m t - - - t - - - 
3160 m t - - - r - - - 
3170 m t r - - r - - - 
3180 t r r - - t - - - 
3190 t r r - - t - - - 
3200 t r r - - t - - - 
3210 t r r - - t - - -
3220 m r r - - t - - -
3230 t t r - - t - - - 
3240 t m t - - t - - -
3250 r m r - - t - - - 
3260 t m t - - t - - -
3270 m m t - - r - - - 
3280 m m t - - m - - -
3290 m t t - - t - - - 
3300 m t t - - t - - -
3310 m r t - - r - - - 
3320 m r t - - r - - -
